马年大吉,#group#

☘️视觉,#genre#
4KR,http://117.63.157.175:8888/rtp/239.49.8.82:8000
4KR,http://dx.joygala.cn:8118/rtp/239.49.8.82:8000
4KR,http://hl.nijingjing.site:8888/rtp/239.49.8.82:8000
4K视频[刷新就是新内容],http://xjj1.716888.xyz/fenlei/4k/4k.php
抖音女神,https://api.e1e1.top/crosswise/cw.php
环球直播,https://live.iill.top/douyu/9036111
熊猫直播,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8

🏀体育,#genre#
新视觉,http://120.238.5.44:1698/hls/81/index.m3u8
咪世界,http://111.56.121.176:80/050000001888/5000000188800000103/index.m3u8
至臻视界,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000015686
至臻视界,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000015686&livemode=1&stbId=yu&mode=1&
至臻视界,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000015686&livemode=1&stbId=toShengfen&mode=1&
睛彩竞技,http://111.56.121.176:80/050000001888/5000000188800000106/index.m3u8
睛彩篮球,http://111.56.121.176:80/050000001888/5000000188800000107/index.m3u8
睛彩青少,http://111.56.121.176:80/050000001888/5000000188800000109/index.m3u8
晴彩广场舞,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011523
博斯无限,http://huhu11.a1.luyouxia.net:26894/play/电视家/电视家.php?id=20268
博斯网球,http://huhu11.a1.luyouxia.net:26894/play/电视家/电视家.php?id=20267
博斯运动一台,http://huhu11.a1.luyouxia.net:26894/play/电视家/电视家.php?id=20263
博斯运动二台,http://huhu11.a1.luyouxia.net:26894/play/电视家/电视家.php?id=20264


☘️纪实,#genre#
BesTV4K记录,http://jasonzhangnas.f3322.net:7088/rtp/233.18.204.170:5140
BesTV4K记录,http://223.167.125.208:4022/rtp/233.18.204.170:5140
内蒙精彩纪实,http://111.56.121.176:80/050000001888/5000000188800000187/index.m3u8
求索生活,http://111.56.90.5/000000000000/6000000002000003382/1.m3u8
求索科学,http://111.56.90.5/000000000000/6000000002000032344/1.m3u8
求索纪录,http://111.56.90.5/000000000000/6000000002000032052/1.m3u8
求索动物,http://111.56.90.5/000000000000/6000000002000010046/1.m3u8
北京纪实科教,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225744/1.m3u8?fmt=ts2hls
金鹰纪实,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225726/1.m3u8?fmt=ts2hls
新纪实,http://bp-resource-dfl.bestv.cn/155/3/video.m3u8
求索纪录,http://120.198.84.146:9901/tsfile/live/1097_1.m3u8
IPTV-野外,http://120.198.84.146:9901/tsfile/live/1017_1.m3u8


第一直播,#group#
📺央视,#genre#
